text,Joy,Hate,Love,Sorrow,Anxiety,Surprise,Anger,Expect
身后那丝丝浅印，是最好的证明。,0,0,1,0,0,0,0,0
上海赴美旅游团特大车祸现场纪实,0,0,0,1,0,0,0,0
而这种征服人的力量是由内而外散发的，你只能效仿，不能完全达到。,0,0,1,0,0,0,0,0
当思念成为一种习惯,0,0,1,0,0,0,0,0
“林花谢了春红，太匆匆！,0,0,0,0,1,0,0,0
我不希望牛来蹭痒痒，我不希望狗到这儿来睡觉，我更不希望狗用它那丑陋而可笑的姿势到这儿来撒尿，当然如果它们真来了，我想我也能容忍，我只是一棵树，而它们是天地间的生物；我希望风能来，它会陪我跳舞；我希望雨能来，它会让我洁净；我希望鸟能来，唱一曲清音或者在这棵树上筑巢，我们会成为友善的邻居。,1,0,1,0,0,0,0,1
随还有许多的绿叶尚未脱落，但冬季的到来早已是不争的事实，那不过是自以为是的残叶了。,0,1,0,1,1,0,0,0
人总要给自己一段冷静的时间释怀一切不愿面对的东西。,0,0,0,1,1,0,0,0
为什么马拉多纳诡异地变了？,0,0,0,0,1,1,0,0
想到了，也终于体会到了，原来，这个就是母亲对孩子的爱啊！,1,0,1,0,0,0,0,0
炊烟是母亲召唤家人信号，是温馨聚餐的开场式。,1,0,1,0,0,0,0,0
今天乔治·卡尔在怨恨内内·希拉里奥的同时，差点儿看到自己部下完成１９分的大逆转，但火箭只送１７分，这是他们在客场被芝加哥疯狂逆转买来的教训。,0,0,0,1,0,0,0,0
这场隆隆的大雷雨足足下了两个多小时，使门前的马路积水深过膝，有些汽车在路上死火抛锚，只乐了一群中国儿童在街头戏水。,0,1,0,0,1,0,0,0
美丽过后，灰飞，烟灭。,0,0,0,1,0,0,0,0
你们的获奖是当之无愧的。,1,0,1,0,0,0,0,0
小商小贩和地下屠宰厂就不同了，出了事情他们立马来个脚底板抹油——溜之乎也，你到哪里找他们索赔去呢？,0,0,0,0,1,0,0,0
哈哈，我看见了……”铁头爸爸大叫一声走了过来。,1,0,0,0,0,1,0,0
直到她有一天生病了，她一直很坚强，小毛病从来不吃药打针。,0,0,0,1,1,0,0,0
有生以来，我还是第一次与小动物生活在一起。,1,0,0,0,0,0,0,0
祝她在天堂能够内心平静、过的安宁。,0,0,0,0,0,0,0,1
“你堂姐的儿子都快一岁了，你表姐快结婚了，你表妹也快结婚了。,0,0,0,0,1,0,0,0
小站上，此刻只有我们几个人站着，空气中飘着些过去的记忆，陈旧而熟悉。,0,0,1,0,0,0,0,0
所以我们要考虑的是：投入土地做什么，怎样提高土地的使用率，怎样提高产量，怎样提高产品性能，怎样增加产品的附加值，怎样营销。,1,0,0,0,1,0,0,1
最重要的，是要努力发表一两篇在国外期刊上。,0,0,0,0,0,0,0,1
我怕吵醒舍友；怕让他们看到我现在狼狈的样子；怕我的泪水被他们看到之后就向决堤的水一发不可收拾！,0,0,0,1,1,0,0,0
做一个爱祖国的人，做一个爱人民的人，做一个平凡的人，做一个善良的人，做一个无悔人生的人，做一个每天都自我问心无愧的人。,0,0,0,0,0,0,0,1
从进入１２月就开始的对旧年过去的的惶恐和忧伤，在无奈中，达到极点。,0,0,0,1,1,0,0,0
有点疯了的恣意放纵自己的购买欲望。,1,0,0,0,0,0,0,0
先是０７年北大教授徐滇庆教授预言深圳房价会涨不跌宣告失败，今年更有茅以轼教授０８年１２月发布“粮食安全与耕地保护”研究报告，说“确保１８亿亩耕地以保障粮食安全”的观点是错误的，甚至是有害的！,0,1,0,0,1,1,0,0
当花瓣一片一片地落在格子桌布的，当泡在水里的根慢慢腐烂，我却无暇去顾及它。,0,0,0,1,1,0,0,0
男孩子往往都很粗心，认为自己倾心的花费了功夫，花的钱越多，就说明自己的爱情是有实力的。,0,0,0,0,1,0,0,0
付成励以自己年轻的判断和冲动，想当然的为自己设置了一些情景，“错误”的杀害了程春明，当然他也必将为自己的行动付出代价。,0,0,0,0,1,0,0,0
无独有偶，中午在马局床上午休的时候，也在报纸上发现了一句评论性的话语——凡事要保持平和的心态去面对一切，让心灵在放松和放假的同时去感受世间的一切和面对即将面对的一切，也只有这样的不断努力，最终也会成为你行我也行，你不行我也行的良好竞争态势，从而达到自己的深度提高，这也许也就是所谓的《功夫之王》的真谛啊，呵呵……,1,0,0,0,0,0,0,1
美国高中生的方案，则是从非洲目前的实际情况，从也许我们都想不到的非洲社会生活的方方面面，包括食物、教育、饮用水、艾滋病、避孕等一些看起来很细小的实际问题入手，每一项，做什麽，准备怎麽做，甚至具体到每项的预算，而那些预算竟然准确到几元几分。,0,0,0,0,0,1,0,0
小陈问兑美元挺麻烦的吗？,0,0,0,0,1,0,0,0
而且基本上每个城市连北京上海这样的超级城市都有明目张胆卖假货的大型市场，这些事情每个人都知道每个人都清楚但每个人都不管，一切都要等到３１５这一天让别人来举报，掩耳盗铃还是刻舟求剑呢？,0,1,0,0,1,0,0,0
当然这事杀一个回马枪，雷了不止我一个人，还雷倒了宋祖德，他一早说这是炒作。,0,0,0,0,1,0,0,0
四年前，雅典奥运会，我在省城实习，那时，很辛苦，很绝望，但是你总是温柔的对我微笑，给我鼓励与安慰。,1,0,1,0,0,0,0,0
有人也许认为周正龙呆在镇坪深山里出于不甘寂寞，所以再出来闹一闹骗俩钱花。,0,1,0,0,1,0,0,0
据说，华尔街金融家们的妻子们都成了绝望主妇，甚至还有人专门写书教这些“绝望主妇”用剩余美元储备一些黄金。,0,0,0,0,1,0,0,0
随便说说,1,0,0,0,0,0,0,0
我与妈妈相伴走过的一程没有结束，妈妈不在回忆里，也不在路的终点，黑暗中，我们彼此相伴而行，为了一个美丽的约定……,0,0,1,0,0,0,0,1
南韩盛产人参，虽然质量不及北韩的正宗“高丽人参”，但仍比吉林人参为佳。,0,0,1,0,0,0,0,0
我淡淡地望了一眼你的背影，那个我支撑过我的背，此刻却显得那么单薄。,0,0,0,0,1,0,0,0
可是那个假期，我一直都在思念中度过。,0,0,1,0,0,0,0,0
对了医生管好嘴的叮嘱，我心下有些惭愧。,0,0,0,1,1,0,0,0
不过好在，我们的人生并不只有悲伤和失望，还有其他丰富的馈赠，可以用来抵抗伤心烦躁，使我们不至于沉溺其中。,1,0,1,0,0,0,0,0
爱就要真实地体现，说爱了就要坚守，不要说我用这个我来爱你，用那个我来爱别人。,0,1,0,1,0,0,1,0
中秋那天，快吃晚饭的时候爬起，我惊喜地看到北京的王馆长也发来优雅的问侯。,1,0,0,0,0,0,0,0
快乐的星期天,1,0,1,0,0,0,0,0
真是个逝者如斯夫，不舍昼夜。,0,0,0,0,1,0,0,0
第一天去，就把档位给捌死了。,0,0,0,0,1,0,0,0
或者说根本就没有值得我来回忆的事情呢，结婚也只短短的写了几十个字，让自己也觉得自己是否太轻率了，就这样让过去的生活一点点的离开了自己,0,0,0,0,1,0,0,0
那张卡片上只写了四个字：见字如面。,0,0,1,0,0,0,0,0
晚上好！,1,0,0,0,0,0,0,0
曾经的抱怨在风雨过后转化为一种动力。,1,0,0,0,0,0,0,1
说说我对长春的感觉吧。,0,0,0,0,0,0,0,1
我还能期待多久呢？,0,0,0,0,1,0,0,1
母亲听到我们回来了，从屋里奔出来，摸着我的脚，问怎么样了。,0,0,0,0,1,0,0,0
这种思念怪怪的，可是和爱情的感觉是不一样的。,0,0,0,0,1,0,0,0
让这个冬天不寒冷，让我脆弱的心变的坚强。,0,0,0,1,0,0,0,0
文字由手出，却是从心发。,0,0,0,0,0,0,0,1
同时感到自己的无助，想在病床边陪伴但远在千里之外的我只能心里着急，想得知具体的病情但亲人都瞒着不告诉我，怕我担心。,0,0,0,1,1,0,0,0
目光在夜的怀抱中游离，没有方向。,0,0,0,0,1,0,0,0
长长的汽笛声，唤醒了昏昏欲睡的我。,1,0,1,0,0,0,0,0
我当时放松来者不拒，过节嘛！,1,0,0,0,0,0,0,0
在我印象中，长江是唯一的好去处。,0,0,1,0,0,0,0,0
她曾经告诉我，衣服要随时买随时换，而且姥姥总会看中一些时髦的服饰，于是会给我买很多刚开始流行的衣服和鞋子。,0,0,1,0,0,0,0,0
将糖果收拾进果盘，当小格子布满桌面时，我仿佛嗅到了家的温馨。,1,0,1,0,0,0,0,0
因富贵而生骄矜，因富贵而有了独立的物质和精神空间。,1,0,1,0,0,0,0,0
前天上午我的老同学、老同事终于来北京了，在她的女儿陪同下到了我家，尽管岁月催人老给我们带来了不少变化，但我们一见面还是那么欢快，笑声不断，又好像回到过去的时光。,1,0,0,1,0,0,0,0
因为我已经做出决定，暑假不回家。,0,0,0,0,0,0,0,1
但是，总有些腕儿们，譬如陈凯歌和冯小刚，身在娱乐圈中却总想着到文化圈里趟几脚，刻意的制造制造八卦非八卦，文化非文化的新闻。,0,1,0,0,0,0,0,0
我犹豫了，彷徨了。,0,0,0,0,1,0,0,0
正在茫然不知今晚凶吉时，空姐突然匆匆宣布重新登机，知情者说：飞机上并未坐满，２３Ｂ空位，那位走了的乘客回来又登机了。,0,0,0,0,1,1,0,0
麦克·哈特知识渊博，拥有四个学位，其经历和学识让他有胆量去写了一本“一百位有历史影响的人物排名”。,0,0,1,0,0,0,0,0
他急切地问，故乡的秋来临了吧……写信告诉我故乡秋的味道。,0,0,1,0,0,0,0,0
每叠一只，我心里就会对它充满敬仰，因为它是我心中的渴望，是我对爱的期盼。,0,0,1,0,0,0,0,0
可以设想某一天，你跟爱人一起去星巴克，知道喝咖啡必定加咖啡伴侣的你，忽然当着她的面把咖啡伴侣注入咖啡，犹如流星坠入一条黑河一样，然后画出一颗心的样子。,0,0,1,0,0,0,0,0
曾经有篇文章，看过之后让我有种戚戚然的感觉，久久不能忘怀。,0,0,0,1,0,0,0,0
虽然公道自在人心，但心情上真的会受影响。,0,0,0,0,1,0,0,0
有人说，喜欢阳光下的爱，在那绿绿的树影中相依偎的甜蜜的爱情剪辑，配着委婉的乐章，不华丽，却有点奢侈，因为其中的情节实在有些恍惚、茫然。,0,0,1,0,1,0,0,0
小伙伴们，用棍子打下冰凌，听着冰凌落地的清脆声音，或拿着冰凌当武器，互相追打，开心极了。,1,0,0,0,0,0,0,0
他专门做了一套五彩斑斓的衣服，走路时也装着跳舞的样子，父母看了乐呵呵的。,1,0,0,0,0,0,0,0
”“还有谁？,0,0,0,0,0,0,0,1
还没来得及开口，“算了你别来了。,0,0,0,1,0,0,0,0
再者，随心所欲的写着，随着心，顺着情，不缓不急，不刚不柔。,0,0,1,0,0,0,0,0
因此，我需要清醒，我的工作需要变，我的感情也应该变，我的生活也要改变！,0,0,0,0,0,0,0,1
那一刻，我们如同沉浸在梦境中一般，已经忘记了什么啥客气、ＣＮＮ、ＳＢＳ……即来之，则安之。,1,0,1,0,0,0,0,0
我们一般人一般不去设想老了的时候，我说的老了是指丧失了活力，行动受限，思维迟钝甚至大脑萎缩，总之，需要别人照顾才能生活这样一种境地。,0,1,0,1,0,0,0,0
刚才和妈妈打电话，一句话还没说完，我已经哽咽的无法说话了。,0,0,0,1,0,0,0,0
终究落得个，匆匆过客匆匆忙，多情总被无情伤。,0,0,0,1,0,0,0,0
将别人的劳动成果掐头去尾、改头换面后当是自己的“独家原创”，其实到“百度”一搜——什么狐狸尾巴都露出来了。,0,1,0,0,0,0,1,0
孩子说，我很小的时候看过爸爸也打过你啊！,0,0,0,0,1,0,0,0
一切都已过去。,0,0,0,1,0,0,0,0
”可没想到他给我的回答却是：“我想这是人生的一种必须经历，每个家庭都应该为了孩子而付出。,1,0,0,0,0,0,0,1
他忙的时候，她还是按部就班地生活。,1,0,0,0,0,0,0,0
假如爱情只是使命,0,0,0,1,1,0,0,0
“三八节”，一个属于女人的节日，属于全世界女人的节日。,1,0,0,0,0,0,0,0
虽然美国反兴奋剂机构（ＵＳＡＤＡ）执行长Ｔｒａｖｉｓ　Ｔｙｇａｒｔ接受路透电话采访时曾经表示菲尔普斯“作了一个令人非常失望和糟糕的决定，在某种程度上，他让全世界感到失望”，但在菲尔普斯道歉之后美国奥委会（ＵＳＯＣ）的声明并没有将菲尔普斯“判处死刑”的意思，美国奥委会的声明说：“我们相信菲尔普斯以后一定会痛改前非，改正自己曾经的不良行为和错误。,0,1,0,1,0,0,0,1
他忽视人的生存权利。,0,1,0,0,0,0,0,0
不论白天是怎样的喧嚣，不论阳光是怎样的明媚。,0,0,0,1,0,0,0,0
我没有怎样，只是寂寞。,0,0,0,1,1,0,0,0
”我丢下手中的活儿，飞快的跑到后山顶上，什么也没有，连老鹰的毛也没看见，父亲还怪我：“下次快些了，老鹰都飞走了。,0,0,1,0,0,0,0,0
但法律真的可以解决一切问题，在此事面前，真的就没有回旋的余地？,0,0,0,1,1,0,0,0
火车提速之后，这个小站唯一的意义就是站在这里，成为时代发展的见证，当然，也会是许多人寻找青春与生命足印的驿站。,0,0,1,0,0,0,0,0
妈妈就特别失望的说：“妈妈又把钱包弄丢了。,0,0,0,0,1,0,0,0
另一个说，弟弟也做过一个类似的梦，梦见一位过去曾有恩于他的人，衣着很是寒酸，像是遭受了什么灾难，来向他借钱。,0,0,0,0,1,0,0,0
我不知道，为什么会有这样的天灾人祸来检验我们的房屋十分坚强，我们的人民子弟兵是否伟大，我们的朋友是否惦记我们，还有我们在亲人心中的爱……．,0,0,0,1,0,0,0,0
刘子歌拿到了中国军团在水立方的第一块游泳金牌，她是在面对强劲对手、雅典奥运会金牌获得者席佩尔的冲击之下，后程发力夺得的一块金牌，同时也是以２分０４秒１８的成绩将原来的世界纪录提高了１秒２２。,1,0,1,0,0,0,0,0
今天，很意外的有一个人告诉我，已经看我的博客一年多了。,0,0,0,0,0,1,0,0
“当多大的官住多大的房”太雷人。,0,0,0,0,0,1,0,0
我表扬大家的同时，特别表扬了小朱庆教得认真，要小朋友感谢他为班级的付出和对小朋友的帮助，并且奖励他一个“大拇指”。,1,0,1,0,0,0,0,0
我们心里放的东西多，就象是我们走路的时候背的东西多。,0,0,0,0,1,0,0,0
可是现实是残酷的，人们都是现实的，包括你，包括我。,0,0,0,0,1,0,0,0
特大冰雹雨,0,1,0,0,0,0,0,0
时光的年轮是飞快的，当一头漂亮秀逸的长发再次在我的头上飘起时，也飘起了一份对长发的喜爱之情。,0,0,1,0,0,0,0,0
我贪恋这夜空，于是在院子里拿了马扎，把猫抱在怀里，坐着赏夜。,1,0,1,0,0,0,0,0
男友回答说：“现放下的人总会留给对方一丝失望，我希望由我来承担这份失望。,0,0,1,0,0,0,0,1
话说回来了，名著就跟个名导演拍出的大片似的，能没有性爱描写么。,0,0,0,0,1,0,0,0
昨晚我跟老公说：“情人节那晚就不用赶过来了，时间太紧。,0,0,0,0,1,0,0,0
你会来吗？,0,0,0,0,1,0,0,0
皇帝和老百姓没啥区别，也常有心烦的时候，也有摆不平的事情。,0,0,0,0,1,0,0,0
我人生的第二十七个年头，也将要彻底的告别我的学生生涯了，硕士论文已经基本被教授通过，然后我也将带着我的头，我的脚，我的身体，我的自信，我的懵懂，我的涉世之初……昂扬挺进职场！,1,0,0,0,0,0,0,0
误踏“地雷”须自受，满街狗矢候君游。,0,0,0,0,1,0,0,0
多少次，我对着你的相片，嘴里发出这样的轻语；多少次，我好象把柔柔的手臂，放到你的头发下，拍着你的身体，哼着睡眠曲，让你宁静的进入有我的梦乡，让你我的灵魂在梦里相逢。,0,0,0,0,0,0,0,1
青灯孤影是一种心灵的境界，是每一个潜心做学问的人都应有的境界，所谓“非宁静无以致远，非淡泊无以明志”，要想有所成就你须耐得住寂寞，守得了孤独。,0,0,1,0,0,0,0,0
高级餐馆之所以高级，除了选料精美外，就是每道菜都搞一些特别的花式，务求精益求精，如在雪糕上加上两只耳朵、一条尾巴，变成一只老鼠。,0,0,1,0,0,0,0,0
”我忍不住好奇问“什么是无我之境？,0,0,0,0,0,1,0,0
打开看见这样一段文字；有情之人，天天是节。,0,0,1,0,0,0,0,1
给自己放假的期限已经到了，原来以为想找点工作应该不算是太难，如今真的找起来才知道已经不像以前那么简单了，成封成封的简历发出去，却像是抛进了大海，一声响都听不到。,0,0,0,1,1,0,0,0
一个万家团圆灯火之夜，对于我来说，仿佛年夜是不易跨过的年关。,0,0,0,1,1,0,0,0
看着你被夜风吹乱的头发，在冰冷的青石上依然身着单衣的你，我的心在流泪。,0,0,0,1,0,0,0,0
乱七八糟的，老实说吧：我电脑里根本没有能制作网页的软件。,0,0,0,0,1,0,0,0
第一步，给父母去了电话，告诉他们我一切都好，并打算留在青岛找个临时工作锻炼。,1,0,0,0,0,0,0,1
在爱情的世界里，没有真正的幸福，也没有永恒的快乐。,0,0,0,1,1,0,0,0
但无中生有，主观臆测实在让人烦了。,0,1,0,0,0,0,1,0
第一天晚上，我有点怕，打电话给你，甚至还在电话里要求，无论多晚，你都要接我电话。,0,0,0,0,1,0,0,0
她一定有很大的困难，实在工作太难找了。,0,0,0,0,1,0,0,0
从过程看成功不好衡量，而从结果看成功过于势利，成功就是要超越人性固有的恐惧，惯性，弱点和局限，成功是超越经验，超越模式，超越自我，甚至超越成功本身。,1,0,0,0,0,0,0,1
随时晖映着博协会员的身影。,1,0,1,0,0,0,0,0
我问他带我到这些无聊的红灯区干什么？,0,1,0,0,1,0,0,0
当年，这部电影打破了好莱坞大片《泰坦尼克》的票房收入，成为日本电影史上最叫座的一部作品。,0,0,1,0,0,0,0,0
我没有你们想像的高尚和伟大。,0,0,0,1,0,0,0,0
一辆Ｘ５呼啸而过，尘土飞扬。,0,0,0,0,1,0,0,0
”这时，他才说了实话：“是被爸爸打的。,0,0,0,1,0,0,0,0
我真希望我的孙女能考出好成绩，能考取她愿意去的高等学府。,0,0,0,0,0,0,0,1
库尔勒的香梨落地即化，据说远看有梨落地，走近寻不见踪迹，可见香梨之酥脆。,0,0,1,0,0,0,0,0
制假贩假欺瞒消费者，对各级领带大肆行贿的富人有之。,0,1,0,0,0,0,0,0
高空科目前，我说我有恐高症。,0,0,0,0,1,0,0,0
为了摆脱打卡，我不得不和保安打成一片。,0,1,0,1,1,0,0,0
以为自己解脱，以为自己忘却，谁知到头来都是自欺欺人。,0,0,0,1,0,0,1,0
不知你的笑容是否依旧灿烂？,0,0,1,1,0,0,0,0
我可以让其他的人失望，但却不能让爸爸妈妈失望！,0,0,0,1,0,0,0,0
郭敬明，成了不折不扣的“商业玩偶”和“造钱机器”，再一次被贴上了“促销标签”。,0,0,0,0,1,0,0,0
欢迎大家来看望她们。,1,0,0,0,0,0,0,0
好久！,0,1,0,0,0,0,1,0
他执意要留她吃午饭，说是就去食堂吧。,0,0,0,0,0,0,0,1
到现在我也没有吃到那家店的点心，因为那年的秋天，外婆就被查出了肠癌，无法再照顾我了，我也就此结束了在外婆身边的生活，回到了父母身边。,0,0,0,1,1,0,0,0
这个情人节，耳边第一次没有响起孟庭苇柔柔地声音和那段哀怨的歌词“没有情人的情人节，我只听到悲伤的音乐……为那爱过的人不了解，想念还在心里面”。,1,0,0,0,0,0,0,0
现在通常说法是，体谅个人在涉及切身利益问题时的难处，但是倘若这种难处是一直要保证个人利益为前提，那么这难该不该解？,0,0,0,0,1,0,0,0
这个冬天好像真的很不寻常，很多大大小小的事都一起来报道了，生活中的不开心好像越来越多，手上的意外比起那些来，又算的了什么了。,0,0,0,1,1,0,0,0
而参加选秀的选手们就是商品，看谁出的价格高，冠军就属于谁了。,0,1,0,0,0,0,1,0
事件发生在今天中午，地点不是别处，恰恰是流行“萌”字的秋叶原，一辆货车突然闯入“步行者天国”，连续撞倒三个行人，然后与一辆出粗车迎面相撞，不多时，犯人手持一把尖刀走出驾驶室，沿路往回一边跑一边刺杀，没有任何固定目标，见人就杀，其中一名警察正在抢救被货车撞伤的行人，竟然也被犯人从身后一刀刺入，现场悲鸣四起，数百人犹如躲避海啸一样，高喊“快逃！,0,1,0,1,1,1,0,0
即使是悠闲与幸福之中的人们，也还是免不了会忧伤和心烦。,0,0,0,0,1,0,0,0
”“真的吗？,1,0,0,0,0,0,0,0
人类不能面对灾难时，要反思灾难发生的根源所在，而不是一味地规避责任，自欺欺人地自慰。,0,0,0,0,0,0,1,1
这个地方肯定没有人来过，有没有地毛那就看咱们的运气了！,0,0,0,0,0,0,0,1
毫无准备的，被这潮湿的天，着实的滋润了一番。,0,0,1,0,0,0,0,0
她单薄的肩，在夜风中显得是那么无助。,0,0,0,1,1,0,0,0
终于有人看见我摔了，在风雪中向我跑来，搀扶我起身，我拼命站了起来，这是一种耻感文化的作用，据说中国人的耻感文化特重，让人搀扶是不中用的表现。,0,1,0,0,0,0,0,0
小时候，水果很贵，西红柿便宜，最便宜的时候一分钱一斤，几毛钱可买一大筐。,0,0,1,0,0,0,0,0
究其根源，“山寨”文化其实是一部分以年轻人为主的社会公众对于消费主义的潮流和时尚的矛盾心态的体现。,0,0,0,0,1,0,0,0
在这样的因素下，最终会伤害到自己和无辜的亲人。,0,0,0,0,1,0,0,0
