id,lang,text,entropy_H,gold,pred,probs,error_type
2018-En-01148,en,'When the mind is denied the emotional sting of losing it never figures out how to win.' -Jonah Lehrer,0.31113240122795105,,"anticipation,optimism,pessimism,trust","anger:0.030,anticipation:0.152,disgust:0.028,fear:0.062,joy:0.102,love:0.017,optimism:0.976,pessimism:0.280,sadness:0.434,surprise:0.012,trust:0.323",
2018-En-03920,en,-c- and disarmed of her equipment on suspicion of being a potential accomplice to Annie Leonhart.,0.306667298078537,,"anger,anticipation,fear","anger:0.306,anticipation:0.143,disgust:0.283,fear:0.583,joy:0.002,love:0.001,optimism:0.004,pessimism:0.097,sadness:0.196,surprise:0.042,trust:0.005",
2018-En-00898,en,Not sure tequila shots at my family birthday meal is up there with the best ideas I've ever had #grim,0.29515042901039124,"disgust,sadness","anticipation,joy,surprise","anger:0.008,anticipation:0.689,disgust:0.022,fear:0.074,joy:0.960,love:0.094,optimism:0.387,pessimism:0.021,sadness:0.049,surprise:0.298,trust:0.037",
2018-En-01408,en,@3lectric5heep Well that must sting doesn't it @CNN ?,0.295141339302063,"anger,fear,sadness",anticipation,"anger:0.094,anticipation:0.429,disgust:0.263,fear:0.060,joy:0.013,love:0.001,optimism:0.020,pessimism:0.113,sadness:0.349,surprise:0.067,trust:0.004",
2018-En-02748,en,#RIPBiwott I think Robert oukos soul can now rejoice and rest in peace. Call an evil man evil and a good man a good man. He was an evil man,0.2855353355407715,"anger,disgust","joy,optimism,sadness","anger:0.060,anticipation:0.043,disgust:0.111,fear:0.004,joy:0.551,love:0.078,optimism:0.788,pessimism:0.040,sadness:0.847,surprise:0.004,trust:0.075",
2018-En-04151,en,Mother Nature dropping mad beats out there this morning. Just wish they wouldn't shake my shower stall while I'm standing there naked.,0.28524014353752136,"anticipation,optimism,sadness","anger,disgust","anger:0.815,anticipation:0.037,disgust:0.877,fear:0.170,joy:0.260,love:0.013,optimism:0.025,pessimism:0.026,sadness:0.381,surprise:0.022,trust:0.004",
2018-En-03823,en,@FFigureFBust How so? I've been thinking of getting it done and now you've given me a frighten.,0.2851543724536896,fear,"anger,anticipation,disgust","anger:0.728,anticipation:0.148,disgust:0.790,fear:0.007,joy:0.045,love:0.002,optimism:0.028,pessimism:0.122,sadness:0.344,surprise:0.053,trust:0.004",
2018-En-03352,en,Selling nudes pics and vids kik me to buy! Dirty_becca69\n\n#kik #kikme #kikusernames #snap #snapchat #findom #nudes #slut #kiktrade #horny,0.2841816842556,,"anger,anticipation,joy","anger:0.488,anticipation:0.243,disgust:0.249,fear:0.004,joy:0.925,love:0.144,optimism:0.053,pessimism:0.006,sadness:0.030,surprise:0.043,trust:0.009",
2018-En-00492,en,"Too much caffeine, and I'm dyyyying. #jitters #shakes #paranoia #heartbeat1000 ☕💔",0.26274722814559937,fear,"pessimism,sadness","anger:0.082,anticipation:0.019,disgust:0.267,fear:0.423,joy:0.070,love:0.008,optimism:0.022,pessimism:0.536,sadness:0.987,surprise:0.014,trust:0.002",
2018-En-02593,en,"It was a bright cold day in April, and the clocks were striking thirteen. ~ George Orwell, 1984",0.26184016466140747,joy,sadness,"anger:0.007,anticipation:0.073,disgust:0.089,fear:0.103,joy:0.159,love:0.006,optimism:0.024,pessimism:0.199,sadness:0.690,surprise:0.054,trust:0.005",
2018-En-01590,en,All and boy play n0 no play dull and mᴬkes.,0.2603946924209595,sadness,joy,"anger:0.124,anticipation:0.093,disgust:0.178,fear:0.014,joy:0.472,love:0.004,optimism:0.035,pessimism:0.028,sadness:0.174,surprise:0.032,trust:0.006",
2018-En-00703,en,"🚨 an alle bike-people in #wien - take care: extrem viele kontrollen momentan, insbesondere ring usw. 🚲 \n #schwarzkappler  #reflektor",0.2593909204006195,,"anticipation,joy,optimism","anger:0.010,anticipation:0.401,disgust:0.012,fear:0.048,joy:0.531,love:0.034,optimism:0.651,pessimism:0.009,sadness:0.018,surprise:0.008,trust:0.048",
2018-En-01080,en,"@stuael Ano man, I'm stunned! At one point our heads were gone and they were scoring at will! #relieved",0.25922873616218567,"joy,optimism,surprise","anger,disgust,fear,sadness","anger:0.899,anticipation:0.018,disgust:0.878,fear:0.761,joy:0.004,love:0.004,optimism:0.003,pessimism:0.182,sadness:0.666,surprise:0.093,trust:0.004",
2018-En-03850,en,"Very important thing for today: \n\nDo not #bully yourself with #100DaysOfCode \n\nBelieve me, It ruins fun!",0.2539599537849426,sadness,"anticipation,joy,optimism,trust","anger:0.039,anticipation:0.246,disgust:0.042,fear:0.061,joy:0.523,love:0.013,optimism:0.988,pessimism:0.014,sadness:0.033,surprise:0.006,trust:0.270",
2018-En-00182,en,"My edit, not my photos #SPNFamily #SamWinchester #JaredPadalecki  #lips #tease",0.2431878000497818,anticipation,"joy,optimism","anger:0.049,anticipation:0.113,disgust:0.107,fear:0.008,joy:0.939,love:0.046,optimism:0.627,pessimism:0.011,sadness:0.117,surprise:0.020,trust:0.033",
2018-En-02798,en,"Whenever I turn on the radio and hear Bob Dylan's Knocking on Heaven's Door being played, I assume he's died. #relieved #notyet #someday",0.24081096053123474,disgust,"anticipation,pessimism,sadness","anger:0.026,anticipation:0.160,disgust:0.231,fear:0.054,joy:0.032,love:0.003,optimism:0.037,pessimism:0.464,sadness:0.955,surprise:0.027,trust:0.004",
2018-En-02599,en,Look upon mine #affliction &amp; my ​​​#pain​; &amp; forgive all my sins. -Ps 25:18,0.24024075269699097,sadness,"anticipation,optimism,trust","anger:0.036,anticipation:0.133,disgust:0.010,fear:0.015,joy:0.353,love:0.050,optimism:0.988,pessimism:0.029,sadness:0.059,surprise:0.005,trust:0.372",
2018-En-01723,en,Am 'ugly' guy whos pleasant geuine  and happy &gt; an evil attractive guy whos bitter and coniving and superficial,0.23825116455554962,"joy,optimism","anger,disgust","anger:0.935,anticipation:0.044,disgust:0.795,fear:0.002,joy:0.176,love:0.034,optimism:0.167,pessimism:0.018,sadness:0.157,surprise:0.002,trust:0.013",
2018-En-02592,en,(Kg Nerang) intruder alarm activated (2017-07-11 19:28:05),0.2377929836511612,"anticipation,joy,optimism",anger,"anger:0.546,anticipation:0.053,disgust:0.298,fear:0.150,joy:0.029,love:0.002,optimism:0.005,pessimism:0.019,sadness:0.065,surprise:0.034,trust:0.004",
2018-En-00511,en,"I finally left the dark room I've been crying in &amp; instead of getting some sun on my translucent skin, I got 6000 mosquito bites. #blessed",0.23293207585811615,"anger,disgust,sadness","joy,optimism","anger:0.020,anticipation:0.008,disgust:0.032,fear:0.008,joy:0.990,love:0.526,optimism:0.633,pessimism:0.013,sadness:0.229,surprise:0.014,trust:0.030",
2018-En-01302,en,@kamaalrkhan Which #chutiya #producer #invested in #crap #deshdrohi ??,0.2328403890132904,"anger,disgust","anticipation,surprise","anger:0.043,anticipation:0.643,disgust:0.062,fear:0.020,joy:0.063,love:0.003,optimism:0.031,pessimism:0.048,sadness:0.041,surprise:0.204,trust:0.032",
2018-En-02012,en,It was at least boiling temperature last night.,0.23207111656665802,pessimism,"anger,disgust","anger:0.864,anticipation:0.020,disgust:0.919,fear:0.310,joy:0.021,love:0.004,optimism:0.005,pessimism:0.044,sadness:0.414,surprise:0.027,trust:0.003",
2018-En-03550,en,@rizikxo @estherolo_ @Corinnetuc17 @ING Her reasonings behind this.  ,0.23167423903942108,,anticipation,"anger:0.082,anticipation:0.272,disgust:0.075,fear:0.014,joy:0.011,love:0.001,optimism:0.051,pessimism:0.101,sadness:0.067,surprise:0.082,trust:0.053",
2018-En-01610,en,@TheDemonWriter #terrible lol I'm kidding,0.22017258405685425,"joy,love","anger,disgust","anger:0.948,anticipation:0.017,disgust:0.967,fear:0.106,joy:0.252,love:0.009,optimism:0.010,pessimism:0.028,sadness:0.286,surprise:0.061,trust:0.004",
2018-En-00780,en,"Jesus drank the cup of wrath you deserve dry, so that you might drink deeply of His cup of salvation that eternally satisfies (Hab 2:15).",0.2197582870721817,,"joy,optimism,trust","anger:0.054,anticipation:0.062,disgust:0.010,fear:0.007,joy:0.696,love:0.077,optimism:0.978,pessimism:0.014,sadness:0.019,surprise:0.009,trust:0.379",
2018-En-03398,en,Paul Ehrlich said that humanity is a threat to all life. Such great news to start the day. If I could blush I would.,0.2127237170934677,"anger,disgust,sadness","joy,optimism","anger:0.019,anticipation:0.059,disgust:0.029,fear:0.406,joy:0.957,love:0.012,optimism:0.721,pessimism:0.009,sadness:0.028,surprise:0.018,trust:0.023",
2018-En-01472,en,"O, the melancholy Catacombs quickly wandered about the Rue Morgue, Madman!",0.21234720945358276,"disgust,pessimism,sadness",anticipation,"anger:0.018,anticipation:0.161,disgust:0.035,fear:0.043,joy:0.283,love:0.006,optimism:0.055,pessimism:0.030,sadness:0.067,surprise:0.048,trust:0.010",
2018-En-02743,en,Enter this code for 10 free Lyfts PARX #Isn't it great to save money when you shop? #blissful #FREECAB,0.20675359666347504,"joy,optimism","anger,disgust","anger:0.946,anticipation:0.065,disgust:0.910,fear:0.016,joy:0.301,love:0.006,optimism:0.150,pessimism:0.009,sadness:0.055,surprise:0.008,trust:0.010",
2018-En-00187,en,@gautamravi168 @vijatta @RanaAyyub He may hv driven the bus to the terror hiding.,0.20639987289905548,,fear,"anger:0.171,anticipation:0.057,disgust:0.240,fear:0.993,joy:0.010,love:0.006,optimism:0.010,pessimism:0.099,sadness:0.116,surprise:0.021,trust:0.012",
2018-En-00998,en,@JudicialWatch What a shake down operation!,0.20108181238174438,"anticipation,surprise","anger,disgust","anger:0.952,anticipation:0.035,disgust:0.958,fear:0.103,joy:0.021,love:0.005,optimism:0.005,pessimism:0.038,sadness:0.277,surprise:0.152,trust:0.003",
2018-En-03087,en,We're really not afraid of you all. We find you rather #annoying &amp; #amusing. 😎😜🤣😂😂,0.19491872191429138,"anger,disgust","joy,optimism","anger:0.033,anticipation:0.059,disgust:0.037,fear:0.102,joy:0.996,love:0.108,optimism:0.838,pessimism:0.011,sadness:0.004,surprise:0.044,trust:0.052",
2018-En-03041,en,#ThingsIveLearned The wise #shepherd never trusts his flock to a #smiling wolf. #TeamFollowBack #fact #wisewords,0.1939379721879959,,"joy,optimism,trust","anger:0.009,anticipation:0.070,disgust:0.012,fear:0.029,joy:0.861,love:0.158,optimism:0.988,pessimism:0.007,sadness:0.007,surprise:0.010,trust:0.272",
2018-En-03544,en,Time for bed in a real bed after four nights camping. #bliss,0.19383463263511658,"anticipation,joy,optimism","anger,disgust,sadness","anger:0.978,anticipation:0.022,disgust:0.966,fear:0.152,joy:0.052,love:0.012,optimism:0.019,pessimism:0.050,sadness:0.540,surprise:0.010,trust:0.006",
2018-En-02759,en,A #teacher who is attempting to teach without #inspiring the #pupil with a #desire to learn is hammering cold iron. #HoraceMann,0.1887362003326416,optimism,"anger,disgust","anger:0.891,anticipation:0.083,disgust:0.921,fear:0.011,joy:0.080,love:0.002,optimism:0.097,pessimism:0.048,sadness:0.043,surprise:0.012,trust:0.012",
2018-En-03381,en,🇿🇦has become a place where people even the most timid of us all are baying for blood around every corner.,0.18572162091732025,,"anger,disgust","anger:0.969,anticipation:0.027,disgust:0.968,fear:0.065,joy:0.004,love:0.003,optimism:0.008,pessimism:0.225,sadness:0.434,surprise:0.010,trust:0.004",
2018-En-02522,en,Post TRNSMT blues,0.18371987342834473,"anticipation,joy,love,sadness",,"anger:0.007,anticipation:0.111,disgust:0.013,fear:0.008,joy:0.347,love:0.007,optimism:0.106,pessimism:0.019,sadness:0.036,surprise:0.016,trust:0.037",
2018-En-01449,en,This is because of people like Saleem Sheikh humanity wins over terrorism n hatred #AmarnathYatraAttacked,0.1823410987854004,"joy,optimism,trust","anger,disgust,fear","anger:0.954,anticipation:0.045,disgust:0.937,fear:0.882,joy:0.004,love:0.005,optimism:0.053,pessimism:0.068,sadness:0.131,surprise:0.006,trust:0.021",
2018-En-01598,en,@FabianisWailea No. No i did not. ,0.18013300001621246,,,"anger:0.025,anticipation:0.111,disgust:0.078,fear:0.020,joy:0.100,love:0.001,optimism:0.022,pessimism:0.038,sadness:0.068,surprise:0.060,trust:0.013",
2018-En-02209,en,Afraid of no one an no one scares me!!! Funk y'all thought image one mans army!! '!,0.17791859805583954,"anger,disgust",fear,"anger:0.031,anticipation:0.070,disgust:0.043,fear:0.996,joy:0.111,love:0.018,optimism:0.091,pessimism:0.061,sadness:0.050,surprise:0.011,trust:0.030",
2018-En-02909,en,@tonyposnanski Putin told him not to. #pout #heylookatthedistraction,0.17117948830127716,,"anger,disgust","anger:0.837,anticipation:0.032,disgust:0.888,fear:0.018,joy:0.014,love:0.002,optimism:0.006,pessimism:0.049,sadness:0.145,surprise:0.021,trust:0.003",
2018-En-01478,en,@Infographic_ksa @KSAMOFA #Doha capital of ,0.17043720185756683,,,"anger:0.027,anticipation:0.113,disgust:0.046,fear:0.034,joy:0.044,love:0.001,optimism:0.029,pessimism:0.097,sadness:0.035,surprise:0.038,trust:0.024",
2018-En-01501,en,#LouiseLinton - haters gonna hate keep on being your#fabulous self they'll keep on being  #miserable,0.1621854156255722,"optimism,sadness","anger,disgust","anger:0.979,anticipation:0.026,disgust:0.959,fear:0.021,joy:0.031,love:0.009,optimism:0.093,pessimism:0.043,sadness:0.224,surprise:0.002,trust:0.012",
2018-En-00910,en,Mint owls are often indignant.,0.15862973034381866,,"anger,disgust","anger:0.945,anticipation:0.023,disgust:0.634,fear:0.004,joy:0.058,love:0.005,optimism:0.015,pessimism:0.025,sadness:0.044,surprise:0.011,trust:0.009",
2018-En-03662,en,"After sleeping past noon, I look out the window to see my hotel has a HOT TUB!!!!! #bliss",0.14846071600914001,joy,"anger,disgust","anger:0.985,anticipation:0.020,disgust:0.967,fear:0.164,joy:0.032,love:0.009,optimism:0.007,pessimism:0.028,sadness:0.113,surprise:0.028,trust:0.004",
2018-En-00807,en,@virtualalien there are more #frightening things in life\n\n#BeyondTheSphereOfReasonableDoubt,0.1333417296409607,"anger,disgust,fear,pessimism","joy,optimism","anger:0.011,anticipation:0.118,disgust:0.014,fear:0.015,joy:0.971,love:0.029,optimism:0.978,pessimism:0.013,sadness:0.020,surprise:0.021,trust:0.074",
2018-En-01593,en,When you walk through the door to a cuppa ! #bliss,0.12238502502441406,"joy,love,optimism","anger,disgust","anger:0.986,anticipation:0.018,disgust:0.940,fear:0.045,joy:0.034,love:0.008,optimism:0.019,pessimism:0.019,sadness:0.100,surprise:0.005,trust:0.005",
2018-En-00853,en,Still 19 days left before I go home to the Philippines but it feels like i'm waiting for forever.  #HomeSoon #Cebu,0.34293854236602783,"joy,love,optimism,sadness","anticipation,fear,pessimism,sadness","anger:0.029,anticipation:0.415,disgust:0.089,fear:0.637,joy:0.095,love:0.009,optimism:0.122,pessimism:0.486,sadness:0.839,surprise:0.022,trust:0.006",
2018-En-03286,en,Finding a store that is closing is both sad and #awesome. 50% off everything!? Get in me now! My bag is nothing but #redbull &amp; aloe water,0.2480989396572113,"anticipation,joy,optimism,sadness","anger,disgust,pessimism,sadness","anger:0.507,anticipation:0.022,disgust:0.778,fear:0.031,joy:0.066,love:0.015,optimism:0.015,pessimism:0.257,sadness:0.995,surprise:0.065,trust:0.004",
2018-En-01284,en,@BrettKeeble I guess it never. @smartassunit #worry,0.20535872876644135,"anger,disgust,fear,pessimism,sadness","fear,optimism,trust","anger:0.015,anticipation:0.115,disgust:0.027,fear:0.931,joy:0.092,love:0.013,optimism:0.925,pessimism:0.076,sadness:0.043,surprise:0.003,trust:0.109",
2018-En-04142,en,"I'm insecure, but I'm strong. I'm alone, but I'm loved. I'm sad, but I smile.",0.18737822771072388,"anticipation,optimism,pessimism,sadness","joy,love,optimism,trust","anger:0.004,anticipation:0.017,disgust:0.011,fear:0.018,joy:0.961,love:0.913,optimism:0.935,pessimism:0.013,sadness:0.241,surprise:0.013,trust:0.143",
2018-En-03625,en,@LogicIsPowerful Not all of them are bad. But I support your right to offend them all.,0.39416664838790894,"optimism,sadness","anger,anticipation,disgust,optimism,trust","anger:0.674,anticipation:0.254,disgust:0.477,fear:0.091,joy:0.255,love:0.043,optimism:0.906,pessimism:0.024,sadness:0.090,surprise:0.011,trust:0.301",
2018-En-00164,en,'What has you smiling like that'\n'Dominos sent me a coupon' 😬,0.36530351638793945,"joy,optimism","anger,anticipation,disgust,joy,surprise","anger:0.293,anticipation:0.228,disgust:0.381,fear:0.004,joy:0.796,love:0.045,optimism:0.070,pessimism:0.031,sadness:0.120,surprise:0.373,trust:0.016",
2018-En-02935,en,"Also 45 billion for the opiod crisis is pennies, complete joke almost as hilarious as 65 billion for high risk pools! Itll #dryupquick",0.3596594035625458,"disgust,pessimism","anger,anticipation,disgust,joy,surprise","anger:0.508,anticipation:0.230,disgust:0.577,fear:0.059,joy:0.793,love:0.008,optimism:0.203,pessimism:0.008,sadness:0.023,surprise:0.211,trust:0.016",
2018-En-02293,en,The way I'm always on twitter at work is a little alarming 🤦🏾‍♀️,0.33503636717796326,"anticipation,fear","anger,disgust,fear,sadness,surprise","anger:0.371,anticipation:0.066,disgust:0.707,fear:0.898,joy:0.023,love:0.003,optimism:0.005,pessimism:0.191,sadness:0.596,surprise:0.208,trust:0.002",
2018-En-01101,en,Tonight's run.... #restless,0.29619860649108887,"anticipation,fear,sadness","anger,disgust,pessimism,sadness","anger:0.355,anticipation:0.095,disgust:0.603,fear:0.205,joy:0.023,love:0.002,optimism:0.015,pessimism:0.278,sadness:0.937,surprise:0.016,trust:0.001",
2018-En-01368,en,462 appearances in PL and 200 goals!! 2.31 games per goal. That's very nearly a goal in every 2 games #crap 😂😂 🙄🙄🤔🤔 #Rooney,0.2954285442829132,"anger,disgust,sadness,surprise","anticipation,joy,surprise","anger:0.066,anticipation:0.328,disgust:0.081,fear:0.041,joy:0.976,love:0.010,optimism:0.215,pessimism:0.052,sadness:0.066,surprise:0.342,trust:0.033",
2018-En-04115,en,Past my test exam .. CDL achieved 😥,0.2886863052845001,"fear,joy,optimism,sadness","anticipation,pessimism,sadness","anger:0.090,anticipation:0.280,disgust:0.151,fear:0.038,joy:0.067,love:0.001,optimism:0.116,pessimism:0.433,sadness:0.937,surprise:0.029,trust:0.005",
2018-En-04023,en,How long?? @connor9mcintyre 😢😢😢 #Phelan #brilliance,0.28283730149269104,"anticipation,joy,sadness","anger,disgust,pessimism,sadness","anger:0.699,anticipation:0.031,disgust:0.733,fear:0.391,joy:0.003,love:0.002,optimism:0.003,pessimism:0.271,sadness:0.880,surprise:0.019,trust:0.002",
2018-En-02292,en,thought I was a bad driver until I went to college #relieved,0.25981882214546204,"joy,optimism,sadness","anger,disgust,pessimism,sadness","anger:0.311,anticipation:0.024,disgust:0.339,fear:0.047,joy:0.044,love:0.002,optimism:0.055,pessimism:0.474,sadness:0.981,surprise:0.010,trust:0.009",
2018-En-01052,en,'we need to do something. something must be done!!!!!'\n\nyour anxiety is amusing. nothing will be done. despair.,0.2102373242378235,"anger,disgust,fear,optimism","fear,pessimism,sadness","anger:0.037,anticipation:0.032,disgust:0.050,fear:0.990,joy:0.053,love:0.010,optimism:0.063,pessimism:0.360,sadness:0.807,surprise:0.010,trust:0.011",
2018-En-00716,en,@badpostyoongi I know for a fact they'll either ignore the fact tiff isn't or change Cindy's background,0.19057029485702515,"anticipation,optimism,pessimism,sadness","anger,anticipation,disgust","anger:0.903,anticipation:0.206,disgust:0.916,fear:0.023,joy:0.008,love:0.002,optimism:0.023,pessimism:0.043,sadness:0.087,surprise:0.047,trust:0.007",
2018-En-00156,en,@byunsolo I DIDN'T ASK FOR THIS EITHER IT JUST HAPPENED 😤,0.17750626802444458,"anger,anticipation,optimism,sadness,surprise","anger,disgust","anger:0.992,anticipation:0.034,disgust:0.859,fear:0.013,joy:0.051,love:0.007,optimism:0.015,pessimism:0.038,sadness:0.438,surprise:0.019,trust:0.003",
2018-En-00090,en,I need to study up on celebrities' birthdays bc my heart almost stopped when I saw Harrison Ford trending... 😯 #relieved,0.4293854832649231,"joy,love","anticipation,disgust,joy,surprise","anger:0.088,anticipation:0.261,disgust:0.329,fear:0.129,joy:0.818,love:0.040,optimism:0.120,pessimism:0.114,sadness:0.465,surprise:0.603,trust:0.022",
2018-En-00747,en,"5,000 new US #citizens swearing in now! #tears #congratulations",0.37836453318595886,"joy,optimism","anger,disgust,joy,surprise","anger:0.239,anticipation:0.096,disgust:0.398,fear:0.093,joy:0.937,love:0.027,optimism:0.169,pessimism:0.022,sadness:0.353,surprise:0.366,trust:0.017",
2018-En-01346,en,"Life is too short to be jealous, hating, keeping up mess, and worrying about things that do not concern you.",0.35999420285224915,optimism,"anger,disgust,optimism,pessimism,sadness","anger:0.661,anticipation:0.051,disgust:0.532,fear:0.044,joy:0.010,love:0.003,optimism:0.468,pessimism:0.455,sadness:0.660,surprise:0.002,trust:0.029",
2018-En-02408,en,Julia and I are finally going to be able to meet PTX #crying,0.3561756908893585,"joy,optimism","anger,disgust,joy,sadness","anger:0.705,anticipation:0.115,disgust:0.408,fear:0.010,joy:0.541,love:0.052,optimism:0.115,pessimism:0.061,sadness:0.633,surprise:0.007,trust:0.007",
2018-En-03644,en,#resentment best Beyoncé song #dontdebateme,0.353225976228714,"anger,joy,optimism","anticipation,disgust,joy","anger:0.193,anticipation:0.157,disgust:0.463,fear:0.006,joy:0.712,love:0.043,optimism:0.114,pessimism:0.020,sadness:0.243,surprise:0.077,trust:0.042",
2018-En-03758,en,One of the great/horrible moments as a professor is seeing a wonderful student leaving your university to pursue his/her true passion.,0.3438728153705597,"joy,pessimism,sadness","anticipation,joy,optimism","anger:0.022,anticipation:0.172,disgust:0.090,fear:0.094,joy:0.946,love:0.040,optimism:0.645,pessimism:0.081,sadness:0.246,surprise:0.167,trust:0.082",
2018-En-03916,en,Got woken up by a road sweeper I was trying to sleep ,0.32783952355384827,"anger,sadness","disgust,fear,pessimism,sadness","anger:0.133,anticipation:0.043,disgust:0.382,fear:0.553,joy:0.118,love:0.005,optimism:0.012,pessimism:0.263,sadness:0.901,surprise:0.093,trust:0.002",
2018-En-01869,en,There's no excuse for making the same mistakes twice. Live &amp; Learn or deal with the consequences of being unhappy #truthbomb,0.3143775761127472,"anger,disgust","anger,optimism,pessimism,sadness","anger:0.250,anticipation:0.068,disgust:0.266,fear:0.058,joy:0.022,love:0.003,optimism:0.736,pessimism:0.349,sadness:0.898,surprise:0.004,trust:0.032",
2018-En-02910,en,@vvxaii i feel shy to call you a friend your a sister💙💙,0.3088512122631073,"disgust,joy","anticipation,joy,love,optimism","anger:0.007,anticipation:0.266,disgust:0.018,fear:0.160,joy:0.857,love:0.968,optimism:0.453,pessimism:0.026,sadness:0.348,surprise:0.024,trust:0.028",
2018-En-01806,en,'your marker teacher'.i looked at him n just burst out laughing i swear these kids will never take me seriously 🤦🏻‍♀️,0.3043774664402008,"joy,pessimism","anger,joy,optimism,trust","anger:0.371,anticipation:0.021,disgust:0.287,fear:0.004,joy:0.993,love:0.198,optimism:0.626,pessimism:0.012,sadness:0.035,surprise:0.028,trust:0.145",
2018-En-02753,en,SOLD OUT!!!! Next batch in 3 days!!!!   ,0.29315173625946045,"anticipation,joy","anger,anticipation,disgust,sadness","anger:0.845,anticipation:0.426,disgust:0.735,fear:0.017,joy:0.054,love:0.014,optimism:0.024,pessimism:0.018,sadness:0.533,surprise:0.066,trust:0.005",
2018-En-01993,en,"@BadHombreNPS @SecretaryPerry If this didn't make me so angry, I'd be laughing at this tweet!",0.292723149061203,"anger,disgust","anger,joy,optimism,trust","anger:0.531,anticipation:0.045,disgust:0.215,fear:0.002,joy:0.990,love:0.133,optimism:0.450,pessimism:0.007,sadness:0.023,surprise:0.043,trust:0.108",
2018-En-04289,en,Last Sunday YouTube glitch making me lose up to 20 subs is heartbreaking for a channel my size! Nearly at 1K though #1Ksubs #youtube soon 😀,0.2907157242298126,"joy,sadness","anger,disgust,sadness,surprise","anger:0.907,anticipation:0.053,disgust:0.949,fear:0.190,joy:0.137,love:0.012,optimism:0.016,pessimism:0.056,sadness:0.788,surprise:0.492,trust:0.003",
2018-En-01853,en,Dro is so damn fine. #insecure,0.2806326448917389,fear,"anger,disgust,fear,pessimism,sadness","anger:0.496,anticipation:0.017,disgust:0.779,fear:0.576,joy:0.015,love:0.003,optimism:0.011,pessimism:0.321,sadness:0.936,surprise:0.011,trust:0.002",
